md5,sha1,sha256,subject,subject_common_name,subject_organizational_unit,subject_organization,subject_locality,subject_state,subject_country,subject_email,issuer,issuer_common_name,issuer_organizational_unit,issuer_organization,issuer_locality,issuer_state,issuer_country,issuer_email,serial,hash_algo,signature_algo,valid_not_before,valid_not_after
bf54f77255d22db731b141fc8de8860b,D8:A6:33:2C:E0:03:6F:B1:85:F6:63:4F:7D:6A:06:65:26:32:28:27,70:A7:3F:7F:37:6B:60:07:42:48:90:45:34:B1:14:82:D5:BF:0E:69:8E:CC:49:8D:F5:25:77:EB:F2:E9:3B:9A, C=US O=AffirmTrust CN=AffirmTrust Premium,AffirmTrust Premium,,AffirmTrust,,,US,, C=US O=AffirmTrust CN=AffirmTrust Premium,AffirmTrust Premium,,AffirmTrust,,,US,,7893706540734352110,sha384WithRSAEncryption,sha384WithRSAEncryption,2010-01-29 14:10:36,2040-12-31 14:10:36
c1edf460cdfd78d5c4e6bb4a5ecf7b01,8A:C7:AD:8F:73:AC:4E:C1:B5:75:4D:A5:40:F4:FC:CF:7C:B5:8E:8C,40:F6:AF:03:46:A9:9A:A1:CD:1D:55:5A:4E:9C:CE:62:C7:F9:63:46:03:EE:40:66:15:83:3D:C8:C8:D0:03:67, C=IN OU=emSign PKI O=eMudhra Technologies Limited CN=emSign Root CA - G1,emSign Root CA - G1,emSign PKI,eMudhra Technologies Limited,,,IN,, C=IN OU=emSign PKI O=eMudhra Technologies Limited CN=emSign Root CA - G1,emSign Root CA - G1,emSign PKI,eMudhra Technologies Limited,,,IN,,235931866688319308814040,sha256WithRSAEncryption,sha256WithRSAEncryption,2018-02-18 18:30:00,2043-02-18 18:30:00
46d1bfcd318a343d84fccd2a4e2b50db,5F:3B:8C:F2:F8:10:B3:7D:78:B4:CE:EC:19:19:C3:73:34:B9:C7:74,51:3B:2C:EC:B8:10:D4:CD:E5:DD:85:39:1A:DF:C6:C2:DD:60:D8:7B:B7:36:D2:B5:21:48:4A:A4:7A:0E:BE:F6," C=JP O=SECOM Trust Systems CO.,LTD. OU=Security Communication RootCA2",,Security Communication RootCA2,"SECOM Trust Systems CO.,LTD.",,,JP,," C=JP O=SECOM Trust Systems CO.,LTD. OU=Security Communication RootCA2",,Security Communication RootCA2,"SECOM Trust Systems CO.,LTD.",,,JP,,0,sha256WithRSAEncryption,sha256WithRSAEncryption,2009-05-29 05:00:39,2029-05-29 05:00:39
4bbcc916e04a38a39a209514a39b4d1d,0F:F9:40:76:18:D3:D7:6A:4B:98:F0:A8:35:9E:0C:FD:27:AC:CC:ED,6B:9C:08:E8:6E:B0:F7:67:CF:AD:65:CD:98:B6:21:49:E5:49:4A:67:F5:84:5E:7B:D1:ED:01:9F:27:B8:6B:D6, C=CH O=WISeKey OU=OISTE Foundation Endorsed CN=OISTE WISeKey Global Root GB CA,OISTE WISeKey Global Root GB CA,OISTE Foundation Endorsed,WISeKey,,,CH,, C=CH O=WISeKey OU=OISTE Foundation Endorsed CN=OISTE WISeKey Global Root GB CA,OISTE WISeKey Global Root GB CA,OISTE Foundation Endorsed,WISeKey,,,CH,,157768595616588414422159278966750757568,sha256WithRSAEncryption,sha256WithRSAEncryption,2014-12-01 15:00:32,2039-12-01 15:10:31
f11bdd1132726537259db0480eccd912,B8:BE:6D:CB:56:F1:55:B9:63:D4:12:CA:4E:06:34:C7:94:B2:1C:C0,07:53:E9:40:37:8C:1B:D5:E3:83:6E:39:5D:AE:A5:CB:83:9E:50:46:F1:BD:0E:AE:19:51:CF:10:FE:C7:C9:65, C=PA ST=Panama L=Panama City O=TrustCor Systems S. de R.L. OU=TrustCor Certificate Authority CN=TrustCor RootCert CA-2,TrustCor RootCert CA-2,TrustCor Certificate Authority,TrustCor Systems S. de R.L.,Panama City,Panama,PA,, C=PA ST=Panama L=Panama City O=TrustCor Systems S. de R.L. OU=TrustCor Certificate Authority CN=TrustCor RootCert CA-2,TrustCor RootCert CA-2,TrustCor Certificate Authority,TrustCor Systems S. de R.L.,Panama City,Panama,PA,,2711694510199101698,sha256WithRSAEncryption,sha256WithRSAEncryption,2016-02-04 12:32:23,2034-12-31 17:26:39
073456c352499019d7afeec9b23b0f11,F6:10:84:07:D6:F8:BB:67:98:0C:C2:E2:44:C2:EB:AE:1C:EF:63:BE,E3:5D:28:41:9E:D0:20:25:CF:A6:90:38:CD:62:39:62:45:8D:A5:C6:95:FB:DE:A3:C2:2B:0B:FB:25:89:70:92, C=US O=Amazon CN=Amazon Root CA 4,Amazon Root CA 4,,Amazon,,,US,, C=US O=Amazon CN=Amazon Root CA 4,Amazon Root CA 4,,Amazon,,,US,,143266989758080763974105200630763877849284878,ecdsa-with-SHA384,ecdsa-with-SHA384,2015-05-26 00:00:00,2040-05-26 00:00:00
4c5544f1ebbc3ead956d58b5afd9ce23,E7:F3:A3:C8:CF:6F:C3:04:2E:6D:0E:67:32:C5:9E:68:95:0D:5E:D2,55:90:38:59:C8:C0:C3:EB:B8:75:9E:CE:4E:25:57:22:5F:F5:75:8B:BD:38:EB:D4:82:76:60:1E:1B:D5:80:97," C=US ST=Illinois L=Chicago O=Trustwave Holdings, Inc. CN=Trustwave Global ECC P384 Certification Authority",Trustwave Global ECC P384 Certification Authority,,"Trustwave Holdings, Inc.",Chicago,Illinois,US,," C=US ST=Illinois L=Chicago O=Trustwave Holdings, Inc. CN=Trustwave Global ECC P384 Certification Authority",Trustwave Global ECC P384 Certification Authority,,"Trustwave Holdings, Inc.",Chicago,Illinois,US,,2704997926503831671788816187,ecdsa-with-SHA384,ecdsa-with-SHA384,2017-08-23 19:36:43,2042-08-23 19:36:43
bbd73f29d8333cfcda58f4749ca1b231,9F:74:4E:9F:2B:4D:BA:EC:0F:31:2C:50:B6:56:3B:8E:2D:93:C3:11,17:93:92:7A:06:14:54:97:89:AD:CE:2F:8F:34:F7:F0:B6:6D:0F:3A:E3:A3:B8:4D:21:EC:15:DB:BA:4F:AD:C7, C=GB ST=Greater Manchester L=Salford O=COMODO CA Limited CN=COMODO ECC Certification Authority,COMODO ECC Certification Authority,,COMODO CA Limited,Salford,Greater Manchester,GB,, C=GB ST=Greater Manchester L=Salford O=COMODO CA Limited CN=COMODO ECC Certification Authority,COMODO ECC Certification Authority,,COMODO CA Limited,Salford,Greater Manchester,GB,,41578283867086692638256921589707938090,ecdsa-with-SHA384,ecdsa-with-SHA384,2008-03-06 00:00:00,2038-01-18 23:59:59
c93491089fc7ae48ab3d8fb417029f61,0D:44:DD:8C:3C:8C:1A:1A:58:75:64:81:E9:0F:2E:2A:FF:B3:D2:6E,18:CE:6C:FE:7B:F1:4E:60:B2:E3:47:B8:DF:E8:68:CB:31:D0:2E:BB:3A:DA:27:15:69:F5:03:43:B4:6D:B3:A4, C=US O=Amazon CN=Amazon Root CA 3,Amazon Root CA 3,,Amazon,,,US,, C=US O=Amazon CN=Amazon Root CA 3,Amazon Root CA 3,,Amazon,,,US,,143266986699090766294700635381230934788665930,ecdsa-with-SHA256,ecdsa-with-SHA256,2015-05-26 00:00:00,2040-05-26 00:00:00
083f1dbc19d823817a3f94652010dbaf,AD:7E:1C:28:B0:64:EF:8F:60:03:40:20:14:C3:D0:E3:37:0E:B5:8A,14:65:FA:20:53:97:B8:76:FA:A6:F0:A9:95:8E:55:90:E4:0F:CC:7F:AA:4F:B7:C2:C8:67:75:21:FB:5F:B6:58," C=US O=Starfield Technologies, Inc. OU=Starfield Class 2 Certification Authority",,Starfield Class 2 Certification Authority,"Starfield Technologies, Inc.",,,US,," C=US O=Starfield Technologies, Inc. OU=Starfield Class 2 Certification Authority",,Starfield Class 2 Certification Authority,"Starfield Technologies, Inc.",,,US,,0,sha1WithRSAEncryption,sha1WithRSAEncryption,2004-06-29 17:39:16,2034-06-29 17:39:16
