md5,sha1,sha256,subject,subject_common_name,subject_organizational_unit,subject_organization,subject_locality,subject_state,subject_country,subject_email,issuer,issuer_common_name,issuer_organizational_unit,issuer_organization,issuer_locality,issuer_state,issuer_country,issuer_email,serial,hash_algo,signature_algo,valid_not_before,valid_not_after
7fb7c74e5f7a62be8c38a91258b83b58,D8:A6:33:2C:E0:03:6F:B1:85:F6:63:4F:7D:6A:06:65:26:32:28:27,70:A7:3F:7F:37:6B:60:07:42:48:90:45:34:B1:14:82:D5:BF:0E:69:8E:CC:49:8D:F5:25:77:EB:F2:E9:3B:9A, C=US O=AffirmTrust CN=AffirmTrust Premium,AffirmTrust Premium,,AffirmTrust,,,US,, C=US O=AffirmTrust CN=AffirmTrust Premium,AffirmTrust Premium,,AffirmTrust,,,US,,7893706540734352110,sha384WithRSAEncryption,sha384WithRSAEncryption,2010-01-29 14:10:36,2040-12-31 14:10:36
6b833e3a25c29e0c8f7e8d7acaa40514,5F:3B:8C:F2:F8:10:B3:7D:78:B4:CE:EC:19:19:C3:73:34:B9:C7:74,51:3B:2C:EC:B8:10:D4:CD:E5:DD:85:39:1A:DF:C6:C2:DD:60:D8:7B:B7:36:D2:B5:21:48:4A:A4:7A:0E:BE:F6," C=JP O=SECOM Trust Systems CO.,LTD. OU=Security Communication RootCA2",,Security Communication RootCA2,"SECOM Trust Systems CO.,LTD.",,,JP,," C=JP O=SECOM Trust Systems CO.,LTD. OU=Security Communication RootCA2",,Security Communication RootCA2,"SECOM Trust Systems CO.,LTD.",,,JP,,0,sha256WithRSAEncryption,sha256WithRSAEncryption,2009-05-29 05:00:39,2029-05-29 05:00:39
d9a70ca47b7f58c1fc79e00f0317aa76,0F:F9:40:76:18:D3:D7:6A:4B:98:F0:A8:35:9E:0C:FD:27:AC:CC:ED,6B:9C:08:E8:6E:B0:F7:67:CF:AD:65:CD:98:B6:21:49:E5:49:4A:67:F5:84:5E:7B:D1:ED:01:9F:27:B8:6B:D6, C=CH O=WISeKey OU=OISTE Foundation Endorsed CN=OISTE WISeKey Global Root GB CA,OISTE WISeKey Global Root GB CA,OISTE Foundation Endorsed,WISeKey,,,CH,, C=CH O=WISeKey OU=OISTE Foundation Endorsed CN=OISTE WISeKey Global Root GB CA,OISTE WISeKey Global Root GB CA,OISTE Foundation Endorsed,WISeKey,,,CH,,157768595616588414422159278966750757568,sha256WithRSAEncryption,sha256WithRSAEncryption,2014-12-01 15:00:32,2039-12-01 15:10:31
3b6a4f5f95c868652202420949560a71,E0:B4:32:2E:B2:F6:A5:68:B6:54:53:84:48:18:4A:50:36:87:43:84,03:95:0F:B4:9A:53:1F:3E:19:91:94:23:98:DF:A9:E0:EA:32:D7:BA:1C:DD:9B:C8:5D:B5:7E:D9:40:0B:43:4A, CN=ACEDICOM Root OU=PKI O=EDICOM C=ES,ACEDICOM Root,PKI,EDICOM,,,ES,, CN=ACEDICOM Root OU=PKI O=EDICOM C=ES,ACEDICOM Root,PKI,EDICOM,,,ES,,7029493972724711941,sha1WithRSAEncryption,sha1WithRSAEncryption,2008-04-18 16:24:22,2028-04-13 16:24:22
e882dcb71fa83e041fc3b3a4b4795470,F6:10:84:07:D6:F8:BB:67:98:0C:C2:E2:44:C2:EB:AE:1C:EF:63:BE,E3:5D:28:41:9E:D0:20:25:CF:A6:90:38:CD:62:39:62:45:8D:A5:C6:95:FB:DE:A3:C2:2B:0B:FB:25:89:70:92, C=US O=Amazon CN=Amazon Root CA 4,Amazon Root CA 4,,Amazon,,,US,, C=US O=Amazon CN=Amazon Root CA 4,Amazon Root CA 4,,Amazon,,,US,,143266989758080763974105200630763877849284878,ecdsa-with-SHA384,ecdsa-with-SHA384,2015-05-26 00:00:00,2040-05-26 00:00:00
a125a10c597bcba1bd15aff63485f2b9,9F:74:4E:9F:2B:4D:BA:EC:0F:31:2C:50:B6:56:3B:8E:2D:93:C3:11,17:93:92:7A:06:14:54:97:89:AD:CE:2F:8F:34:F7:F0:B6:6D:0F:3A:E3:A3:B8:4D:21:EC:15:DB:BA:4F:AD:C7, C=GB ST=Greater Manchester L=Salford O=COMODO CA Limited CN=COMODO ECC Certification Authority,COMODO ECC Certification Authority,,COMODO CA Limited,Salford,Greater Manchester,GB,, C=GB ST=Greater Manchester L=Salford O=COMODO CA Limited CN=COMODO ECC Certification Authority,COMODO ECC Certification Authority,,COMODO CA Limited,Salford,Greater Manchester,GB,,41578283867086692638256921589707938090,ecdsa-with-SHA384,ecdsa-with-SHA384,2008-03-06 00:00:00,2038-01-18 23:59:59
3518e70c71fbd2139beb98310d12a897,0D:44:DD:8C:3C:8C:1A:1A:58:75:64:81:E9:0F:2E:2A:FF:B3:D2:6E,18:CE:6C:FE:7B:F1:4E:60:B2:E3:47:B8:DF:E8:68:CB:31:D0:2E:BB:3A:DA:27:15:69:F5:03:43:B4:6D:B3:A4, C=US O=Amazon CN=Amazon Root CA 3,Amazon Root CA 3,,Amazon,,,US,, C=US O=Amazon CN=Amazon Root CA 3,Amazon Root CA 3,,Amazon,,,US,,143266986699090766294700635381230934788665930,ecdsa-with-SHA256,ecdsa-with-SHA256,2015-05-26 00:00:00,2040-05-26 00:00:00
b4bc06aa19459f37321cfee6cd45d113,AD:7E:1C:28:B0:64:EF:8F:60:03:40:20:14:C3:D0:E3:37:0E:B5:8A,14:65:FA:20:53:97:B8:76:FA:A6:F0:A9:95:8E:55:90:E4:0F:CC:7F:AA:4F:B7:C2:C8:67:75:21:FB:5F:B6:58," C=US O=Starfield Technologies, Inc. OU=Starfield Class 2 Certification Authority",,Starfield Class 2 Certification Authority,"Starfield Technologies, Inc.",,,US,," C=US O=Starfield Technologies, Inc. OU=Starfield Class 2 Certification Authority",,Starfield Class 2 Certification Authority,"Starfield Technologies, Inc.",,,US,,0,sha1WithRSAEncryption,sha1WithRSAEncryption,2004-06-29 17:39:16,2034-06-29 17:39:16
df8278655860c6800950a0fab3ba0a37,03:9E:ED:B8:0B:E7:A0:3C:69:53:89:3B:20:D2:D9:32:3A:4C:2A:FD,B4:78:B8:12:25:0D:F8:78:63:5C:2A:A7:EC:7D:15:5E:AA:62:5E:E8:29:16:E2:CD:29:43:61:88:6C:D1:FB:D4, C=US O=GeoTrust Inc. OU=(c) 2008 GeoTrust Inc. - For authorized use only CN=GeoTrust Primary Certification Authority - G3,GeoTrust Primary Certification Authority - G3,(c) 2008 GeoTrust Inc. - For authorized use only,GeoTrust Inc.,,,US,, C=US O=GeoTrust Inc. OU=(c) 2008 GeoTrust Inc. - For authorized use only CN=GeoTrust Primary Certification Authority - G3,GeoTrust Primary Certification Authority - G3,(c) 2008 GeoTrust Inc. - For authorized use only,GeoTrust Inc.,,,US,,28809105769928564313984085209975885599,sha256WithRSAEncryption,sha256WithRSAEncryption,2008-04-02 00:00:00,2037-12-01 23:59:59
d22b07bdca90f5115001dfbd245cbe7d,2F:78:3D:25:52:18:A7:4A:65:39:71:B5:2C:A2:9C:45:15:6F:E9:19,25:30:CC:8E:98:32:15:02:BA:D9:6F:9B:1F:BA:1B:09:9E:2D:29:9E:0F:45:48:BB:91:4F:36:3B:C0:D4:53:1F, C=ES O=IZENPE S.A. CN=Izenpe.com,Izenpe.com,,IZENPE S.A.,,,ES,, C=ES O=IZENPE S.A. CN=Izenpe.com,Izenpe.com,,IZENPE S.A.,,,ES,,917563065490389241595536686991402621,sha256WithRSAEncryption,sha256WithRSAEncryption,2007-12-13 13:08:28,2037-12-13 08:27:25
